name,food_group,food_subgroup
Angelica,Herbs and Spices,Herbs
Savoy cabbage,Vegetables,Cabbages
Silver linden,Herbs and Spices,Herbs
Kiwi,Fruits,Tropical fruits
Allium,Vegetables,Onion-family vegetables
Garden onion,Vegetables,Onion-family vegetables
Leek,Vegetables,Onion-family vegetables
Garlic,Herbs and Spices,Herbs
Chives,Herbs and Spices,Herbs
Lemon verbena,Herbs and Spices,Herbs
Cashew nut,Nuts,Nuts
Pineapple,Fruits,Tropical fruits
Dill,Herbs and Spices,Herbs
Custard apple,Fruits,Tropical fruits
Wild celery,Herbs and Spices,Spices
Peanut,Nuts,Nuts
Burdock,Vegetables,Root vegetables
Horseradish,Herbs and Spices,Spices
Tarragon,Herbs and Spices,Herbs
Mugwort,Herbs and Spices,Herbs
Asparagus,Vegetables,Shoot vegetables
Oat,Cereals and cereal products,Cereals
Star fruit,Fruits,Tropical fruits
Brazil nut,Nuts,Nuts
Common beet,Vegetables,Leaf vegetables
Borage,Herbs and Spices,Oilseed crops
Chinese mustard,Vegetables,Cabbages
Swede,Vegetables,Root vegetables
Rape,Vegetables,Root vegetables
Common cabbage,Vegetables,Cabbages
Cauliflower,Vegetables,Cabbages
Brussel sprouts,Vegetables,Cabbages
Kohlrabi,Vegetables,Root vegetables
Broccoli,Vegetables,Cabbages
Chinese cabbage,Vegetables,Cabbages
Turnip,Herbs and Spices,Herbs
Pigeon pea,Pulses,Peas
Tea,Teas,Teas
Capers,Herbs and Spices,Spices
Pepper,Vegetables,Fruit vegetables
Papaya,Fruits,Tropical fruits
Safflower,Herbs and Spices,Oilseed crops
Caraway,Herbs and Spices,Spices
Pecan nut,Nuts,Nuts
Chestnut,Nuts,Nuts
Roman camomile,Herbs and Spices,Herbs
Chickpea,Pulses,Peas
Endive,Vegetables,Leaf vegetables
Chicory,Vegetables,Root vegetables
Chinese cinnamon,Herbs and Spices,Spices
Ceylon cinnamon,Herbs and Spices,Spices
Watermelon,Gourds,Gourds
Lime,Fruits,Citrus
Lemon,Fruits,Citrus
Pummelo,Fruits,Citrus
Mandarin orange,Fruits,Citrus
Sweet orange,Fruits,Citrus
Coffee,Coffee and coffee products,Coffee
Arabica coffee,Coffee and coffee products,Coffee
Robusta coffee,Coffee and coffee products,Coffee
Coriander,Herbs and Spices,Herbs
Common hazelnut,Nuts,Nuts
Saffron,Herbs and Spices,Spices
Muskmelon,Gourds,Gourds
Cucumber,Gourds,Gourds
Cucurbita,Gourds,Gourds
Cumin,Herbs and Spices,Spices
Turmeric,Herbs and Spices,Spices
Quince,Fruits,Pomes
Lemon grass,Herbs and Spices,Herbs
Globe artichoke,Vegetables,Shoot vegetables
Wild carrot,Vegetables,Root vegetables
Japanese persimmon,Fruits,Tropical fruits
Cardamom,Herbs and Spices,Spices
Black crowberry,Fruits,Berries
Loquat,Fruits,Tropical fruits
Rocket salad,Vegetables,Leaf vegetables
Wax apple,Fruits,Tropical fruits
Common buckwheat,Cereals and cereal products,Cereals
Tartary buckwheat,Cereals and cereal products,Cereals
Fig,Fruits,Other fruits
Fennel,Herbs and Spices,Herbs
Strawberry,Fruits,Berries
Black huckleberry,Fruits,Berries
Soy bean,Soy,Soy
Sunflower,Herbs and Spices,Oilseed crops
Sea-buckthornberry,Fruits,Berries
Barley,Cereals and cereal products,Cereals
Hyssop,Herbs and Spices,Herbs
Star anise,Herbs and Spices,Spices
Swamp cabbage,Vegetables,Leaf vegetables
Sweet potato,Vegetables,Tubers
Black walnut,Nuts,Nuts
Common walnut,Nuts,Nuts
Lettuce,Vegetables,Leaf vegetables
Grass pea,Pulses,Peas
Sweet bay,Herbs and Spices,Herbs
Lentils,Pulses,Lentils
Garden cress,Vegetables,Leaf vegetables
Lovage,Herbs and Spices,Herbs
Flaxseed,Herbs and Spices,Oilseed crops
Mexican oregano,Herbs and Spices,Herbs
Lichee,Fruits,Tropical fruits
Lupine,Pulses,Other pulses
Apple,Fruits,Pomes
Mango,Fruits,Tropical fruits
German camomile,Herbs and Spices,Herbs
Lemon balm,Herbs and Spices,Herbs
Mentha,Herbs and Spices,Herbs
Orange mint,Herbs and Spices,Herbs
Cornmint,Herbs and Spices,Herbs
Spearmint,Herbs and Spices,Herbs
Peppermint,Herbs and Spices,Herbs
Medlar,Fruits,Pomes
Bitter gourd,Gourds,Gourds
Mulberry,Fruits,Berries
Black mulberry,Fruits,Berries
Nutmeg,Herbs and Spices,Spices
Sweet basil,Herbs and Spices,Herbs
Evening primrose,Herbs and Spices,Oilseed crops
Olive,Vegetables,Fruit vegetables
Sweet marjoram,Herbs and Spices,Herbs
Pot marjoram,Herbs and Spices,Herbs
Common oregano,Herbs and Spices,Herbs
Rice,Cereals and cereal products,Cereals
Millet,Cereals and cereal products,Cereals
